id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
rewards,Asia_Australia,1,0,2,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,3
huli,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@scavino45,Americas,2,0,0,1.0,0.0,0.0,1.0,2
entra,Americas,17,1,0,0.9444444444444444,0.05555555555555555,0.0,0.9444444444444444,18
مدرب,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
왔는데,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
какой,Africa_Europe,0,5,1,0.0,0.8333333333333334,0.16666666666666666,0.8333333333333334,6
لقاح,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
wisdom,Americas,14,8,2,0.5833333333333334,0.3333333333333333,0.08333333333333333,0.5833333333333334,24
task,Americas,5,3,1,0.5555555555555556,0.3333333333333333,0.1111111111111111,0.5555555555555556,9
ใจด,Asia_Australia,0,0,4,0.0,0.0,1.0,1.0,4
paket,Asia_Australia,0,3,5,0.0,0.375,0.625,0.625,8
forth,Americas,3,1,2,0.5,0.16666666666666666,0.3333333333333333,0.5,6
parabéns,Americas,82,3,1,0.9534883720930233,0.03488372093023256,0.011627906976744186,0.9534883720930233,86
صار,Africa_Europe,1,13,0,0.07142857142857142,0.9285714285714286,0.0,0.9285714285714286,14
yeniden,Africa_Europe,0,10,0,0.0,1.0,0.0,1.0,10
reindeer,Americas,6,0,1,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571,7
amém,Americas,44,0,0,1.0,0.0,0.0,1.0,44
hays,Asia_Australia,0,0,9,0.0,0.0,1.0,1.0,9
amén,Americas,36,4,0,0.9,0.1,0.0,0.9,40
trem,Americas,26,0,0,1.0,0.0,0.0,1.0,26
heyyy,Americas,1,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,3
showed,Americas,15,3,1,0.7894736842105263,0.15789473684210525,0.05263157894736842,0.7894736842105263,19
tren,Africa_Europe,0,5,0,0.0,1.0,0.0,1.0,5
debido,Americas,4,3,0,0.5714285714285714,0.42857142857142855,0.0,0.5714285714285714,7
diario,Americas,3,1,0,0.75,0.25,0.0,0.75,4
rtキャンペーン,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
